"Α/Α"	"Κωδικός "	"Περιγραφή"	"Από "	"Σε "	"Κίνηση κλεισίματος εκκρεμοτήτων αποθήκης"	"Ανενεργό"
0	100. Έγκριση Αιτήματος	Έγκριση Αιτήματος Προμηθειών	ΑΤΕ			0
3	152. ΠΔΣ=>ΔΑΠ	Από Δέσμευση Σε Δ. Αποστολής Πωλήσεων	ΠΔΣ	ΔΑΠ	STOCK-RESERVE(ORDER)	0
3	154. ΠΔΣ=>ΔΧΔ	Από Δέσμευση Σε Δελτίο Αποστολής (χωρίς αξία)	ΠΔΣ	ΔΧΔ	STOCK-RESERVE(ORDER)	0
7	449. ΠΔΣ=>ΑΥΔ	Από Δέσμευση Σε Δ Αποστολής Αυτοπαράδοσης	ΠΔΣ	ΑΥΔ	STOCK-RESERVE(ORDER)	0
8	139. ΔΧΔ=>ΔΧΣ	Παραλαβή από πελάτη από Δ.Αποστολής (για δειγματισμό)	ΔΧΔ	ΔΧΣ		0
9	140. ΔΧΣ=>ΔΧΔ	Αποστολή σε πελάτη από Παραλαβή (για δοκιμή, έλεγχο)	ΔΧΣ	ΔΧΔ		0
10	142. ΔΑΠ=>ΔΕΠ	Δ.Παραλαβής από Δ.Αποστολής πωλήσεων	ΔΑΠ	ΔΕΠ		0
11	135. ΔΕΛ=>ΔΠΛ	Δ.Αποστολής από Δ.Παραλαβής πελάτη Λιανικής	ΔΕΛ	ΔΠΛ		0
11	164. ΑΓΤ=>ΔΧΔ	Δ.Αποστολής σε πελάτη χωρίς χρέωση από ΑΧ Τρίτων	ΑΓΤ	ΔΧΔ		0
12	187. ΕΑΠ=>ΔΑΠ (από ΠΑΡ)	Αποστολή παραγγελιών πελατών	ΕΑΠ	ΔΑΠ	CUSTOMER-ORDER	0
2	113. ΔΑΠ=>ΤΙΠ	Τιμολόγηση Δελτίων Αποστολής Πωλήσεων	ΔΑΠ	ΤΙΠ	CUSTOMER-DELIVERY	0
5	120. ΔΠΛ=>ΔΑΛ	Απόδειξη Λιανικής από Δελτία Αποστολής	ΔΠΛ	ΔΑΛ	CUSTOMER-DELIVERY	0
6	131. ΑΧΤ=>ΤΔΑ	Tιμολόγιο-Δ.Αποστολής από ΑΧ Τρίτων	ΑΧΤ	ΤΔΑ		0
6	147. ΑΓΤ=>ΤΔΑ	Tιμολόγιο-Δ.Αποστολής από ΑΧ Τρίτων	ΑΓΤ	ΤΔΑ		0
7	153. ΠΔΣ=>ΤΔΑ	Από Δέσμευση Σε Τιμολόγιο Πώλησης - Δελτίο αποστολής	ΠΔΣ	ΤΔΑ	STOCK-RESERVE(ORDER)	0
7	154. ΠΔΣ=>ΑΠΛ	Από Δέσμευση Σε Απόδειξη Λιανικής - Δ. Αποστολής	ΠΔΣ	ΑΠΛ	STOCK-RESERVE(ORDER)	0
8	115. ΤΔΑ=>ΠΤΔ (ΣΕΙΡΕΣ Α - ΠΟΣΟΤΗΤΕΣ & ΑΞΙΕΣ)	Πιστωτικό Τιμολόγιο - Δ. Επιστροφής για Τιμολόγιο-Δ.Αποστολής Πωλήσεων	ΤΔΑ	ΠΤΔ		0
8	115. ΤΔΦ=>ΠΤΚ	Πιστωτικό για Τιμολόγιο-Δ.Αποστολής Πωλήσεων	ΤΔΦ	ΠΤΚ		0
8	116. ΤΔΑ=>ΠΤΛ (ΣΕΙΡΕΣ Λ,Κ - ΑΞΙΑΚΟ)	Πιστωτικό Τιμολόγιο διόρθωσης χρέωσης για Τιμολόγιο-Δ.Αποστολής Πωλήσεων	ΤΔΑ	ΠΤΛ		0
8	116. ΤΙΠ=>ΠΤΛ	Πιστωτικό Τιμολόγιο διόρθωσης χρέωσης για Τιμολόγιο Πωλήσεων	ΤΙΠ	ΠΤΛ		0
9	116. ΤΠΥ=>ΠΤΥ	Πιστωτικό για Τιμολόγιο Παροχής Υπηρεσιών	ΤΠΥ	ΠΤΥ		0
10	117. ΔΕΠ=>ΠΤΙ	Πιστωτικό τιμολόγιο για Δ.Επιστροφής πελάτη	ΔΕΠ	ΠΤΙ	CUSTOMER-RETURN	0
11	135. ΔΕΛ=>ΠΣΛ	Πιστωτικό Λιανικής για Δ.Επιστροφής	ΔΕΛ	ΠΣΛ	CUSTOMER-RETURN	0
12	122. ΠΛΣ=>ΠΤΕ	Πιστωτικό έκπτωσης Πωλήσεων από αντιλογισμό προβλέψεων	ΠΛΣ	ΠΤΕ		0
12	122. ΤΙΠ=>ΠΤΕ	Πιστωτικό Εκπτωσης για Τιμολόγιο Πώλησης	ΤΙΠ	ΠΤΕ		0
13	114. ΤΙΠ=>ΠΤΕ	Πιστωτικό έκπτωσης για Τιμολόγιο Πώλησης  (με 0 στην αξία προς συμπλήρωση από το χρήστη)	ΤΙΠ	ΠΤΕ		0
14	121.ΤΔΑ=>ΠΤΕ	Πιστωτικό έκπτωσης για Τιμολόγιο-ΔΑ Πώλησης (με 0 στην αξία προς συμπλήρωση από το χρήστη)	ΤΔΑ	ΠΤΕ		0
